Case ID,Task ID,Condition,Timestamp,Activity,Event Type,Sensor,Message,Source File,Source Data Type
normal_p01_t3,t3,normal,2008-02-27T12:58:01.154560,Use burner,activity,AD1-A,2.85301,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:58:17.972858,Move within kitchen,activity,M17,ON,adl_noerror/p01.t3.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:00.988738,Enter kitchen,activity,M17,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:06.202371,Move within kitchen,activity,M16,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:21.378630,Move from kitchen to dining room,activity,M15,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:23.787940,Move from dining room to kitchen,activity,M17,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:25.969317,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:27.418894,Take medicine container,activity,I06,ABSENT,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:29.884190,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:38.537703,Move from kitchen to dining room,activity,M15,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:38.585900,Move from dining room to kitchen,activity,M16,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:39.229506,Move from kitchen to dining room,activity,M14,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t4,t4,normal,2008-02-27T12:59:41.669820,Move within dining room,activity,M13,ON,adl_noerror/p01.t4.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:01:57.657831,Enter dining room,activity,M14,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:01:59.731257,Move within dining room,activity,M14,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:27.654590,Move from dining room to kitchen,activity,M16,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:29.167161,Move within kitchen,activity,M17,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:43.448725,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:50.170753,Return bowl,activity,I04,PRESENT,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:52.559056,Return brown sugar,activity,I03,PRESENT,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:54.532506,Return medicine container,activity,I06,PRESENT,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:56.699869,Move within kitchen,activity,M17,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:02:58.947227,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:03:09.670157,Move within kitchen,activity,M18,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:03:28.273380,Use kitchen sink water,activity,AD1-B,0.0676182,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:06:03.537111,Move within kitchen,activity,M18,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:06:34.112920,Use kitchen sink water,activity,AD1-B,0.476374,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:06:34.538222,Move within kitchen,activity,M18,ON,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:07:07.134480,Use kitchen sink water,activity,AD1-B,0.103908,adl_noerror/p01.t5.csv,normal
normal_p01_t5,t5,normal,2008-02-27T13:07:11.573516,Move within kitchen,activity,M18,ON,adl_noerror/p01.t5.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:50:03.649200,Enter corridor,activity,M23,ON,adl_noerror/p02.t1.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:50:04.548539,Move from corridor to dining room,activity,M07,ON,adl_noerror/p02.t1.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:50:04.548539,Move within dining room,activity,M08,ON,adl_noerror/p02.t1.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:50:11.466075,Take phone book,activity,I08,ABSENT,adl_noerror/p02.t1.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:50:13.543698,Move within dining room,activity,M14,ON,adl_noerror/p02.t1.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:51:22.000000,Start phone use,activity,asterisk,START,adl_noerror/p02.t1.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:51:49.528311,Move within dining room,activity,M14,ON,adl_noerror/p02.t1.csv,normal
normal_p02_t1,t1,normal,2008-02-29T12:51:51.000000,End phone use,activity,asterisk,END,adl_noerror/p02.t1.csv,normal
normal_p02_t2,t2,normal,2008-02-29T12:51:58.605865,Enter dining room,activity,M13,ON,adl_noerror/p02.t2.csv,normal
normal_p02_t2,t2,normal,2008-02-29T12:51:58.909753,Return phone book,activity,I08,PRESENT,adl_noerror/p02.t2.csv,normal
normal_p02_t2,t2,normal,2008-02-29T12:52:01.639008,Move within dining room,activity,M14,ON,adl_noerror/p02.t2.csv,normal
normal_p02_t2,t2,normal,2008-02-29T12:52:14.149673,Move from dining room to kitchen,activity,M16,ON,adl_noerror/p02.t2.csv,normal
normal_p02_t2,t2,normal,2008-02-29T12:52:15.369367,Move within kitchen,activity,M17,ON,adl_noerror/p02.t2.csv,normal
normal_p02_t2,t2,normal,2008-02-29T12:52:19.933500,Use kitchen sink water,activity,AD1-C,0.0351177,adl_noerror/p02.t2.csv,normal
normal_p02_t2,t2,normal,2008-02-29T12:52:38.583396,Move within kitchen,activity,M17,ON,adl_noerror/p02.t2.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:14.516401,Enter kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:14.995274,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:20.368630,Take pot,activity,I07,ABSENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:24.411686,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:25.185380,Use burner,activity,AD1-A,2.80004,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:32.170792,Take measuring spoon,activity,I05,ABSENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:33.145885,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:43.104230,Use kitchen sink water,activity,AD1-C,0.0539852,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:47.505846,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:53:59.918096,Return measuring spoon,activity,I05,PRESENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:01.434752,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:02.431468,Take raisins,activity,I02,ABSENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:04.457950,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:07.890998,Take measuring spoon,activity,I05,ABSENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:09.204648,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:40.574574,Return raisins,activity,I02,PRESENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:52.159860,Use burner,activity,AD1-A,3.2895,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:54:56.346224,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:16.987326,Take oatmeal,activity,I01,ABSENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:19.492674,Take brown sugar,activity,I03,ABSENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:21.472130,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:21.864038,Return brown sugar,activity,I03,PRESENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:25.748962,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:42.245360,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:58.597784,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:55:59.487723,Take bowl,activity,I04,ABSENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:56:02.359356,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:56:03.447104,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:57:42.895704,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:57:43.898431,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:57:47.397486,Return bowl,activity,I04,PRESENT,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:57:48.886075,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:57:58.216430,Use burner,activity,AD1-A,3.0288,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:58:06.396461,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:59:25.832500,Use kitchen sink water,activity,AD1-C,0.0400006,adl_noerror/p02.t3.csv,normal
normal_p02_t3,t3,normal,2008-02-29T12:59:30.617933,Move within kitchen,activity,M17,ON,adl_noerror/p02.t3.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:13.519942,Enter kitchen,activity,M17,ON,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:15.463415,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:18.918210,Take medicine container,activity,I06,ABSENT,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:20.949401,Take brown sugar,activity,I03,ABSENT,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:21.608542,Move within kitchen,activity,M17,ON,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:23.911621,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:28.215180,Use kitchen sink water,activity,AD1-C,0.0357427,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:31.698942,Move within kitchen,activity,M17,ON,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:41.305332,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:42.503438,Return medicine container,activity,I06,PRESENT,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:43.697542,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:44.161591,Move within kitchen,activity,M17,ON,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:47.883625,Move from kitchen to dining room,activity,M15,ON,adl_noerror/p02.t4.csv,normal
normal_p02_t4,t4,normal,2008-02-29T13:00:48.372514,Move within dining room,activity,M14,ON,adl_noerror/p02.t4.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:01:49.566998,Enter dining room,activity,M14,ON,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:01:52.518244,Move within dining room,activity,M14,ON,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:01:54.298335,Move from dining room to kitchen,activity,M16,ON,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:01:55.464294,Move within kitchen,activity,M17,ON,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:01:57.785821,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:02:00.549033,Take medicine container,activity,I06,ABSENT,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:02:04.895853,Move within kitchen,activity,M17,ON,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:02:06.691368,Return medicine container,activity,I06,PRESENT,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:02:08.699980,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:02:16.157640,Use kitchen sink water,activity,AD1-B,0.0540243,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:05:08.554396,Move within kitchen,activity,M18,ON,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:05:49.130130,Use kitchen sink water,activity,AD1-B,0.223675,adl_noerror/p02.t5.csv,normal
normal_p02_t5,t5,normal,2008-02-29T13:05:56.561680,Move within kitchen,activity,M17,ON,adl_noerror/p02.t5.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:21:28.490007,Enter corridor,activity,M23,ON,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:21:28.616031,Move from corridor to dining room,activity,M01,ON,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:21:29.645678,Move within dining room,activity,M07,ON,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:21:34.532381,Take phone book,activity,I08,ABSENT,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:21:38.972157,Move within dining room,activity,M13,ON,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:21:59.000000,Start phone use,activity,asterisk,START,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:22:01.802603,Move within dining room,activity,M13,ON,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:23:18.000000,End phone use,activity,asterisk,END,adl_noerror/p03.t1.csv,normal
normal_p03_t1,t1,normal,2008-02-29T13:23:18.436494,Move within dining room,activity,M13,ON,adl_noerror/p03.t1.csv,normal
normal_p03_t2,t2,normal,2008-02-29T13:23:49.819614,Enter dining room,activity,M14,ON,adl_noerror/p03.t2.csv,normal
normal_p03_t2,t2,normal,2008-02-29T13:23:50.838368,Move within dining room,activity,M15,ON,adl_noerror/p03.t2.csv,normal
normal_p03_t2,t2,normal,2008-02-29T13:23:51.432171,Move from dining room to kitchen,activity,M16,ON,adl_noerror/p03.t2.csv,normal
normal_p03_t2,t2,normal,2008-02-29T13:23:52.592843,Move within kitchen,activity,M17,ON,adl_noerror/p03.t2.csv,normal
normal_p03_t2,t2,normal,2008-02-29T13:23:55.161460,Use kitchen sink water,activity,AD1-B,0.0369928,adl_noerror/p03.t2.csv,normal
normal_p03_t2,t2,normal,2008-02-29T13:24:15.532252,Move within kitchen,activity,M17,ON,adl_noerror/p03.t2.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:24:54.962410,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:24:56.497490,Take raisins,activity,I02,ABSENT,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:24:58.534957,Take measuring spoon,activity,I05,ABSENT,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:02.420160,Take brown sugar,activity,I03,ABSENT,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:05.231910,Return brown sugar,activity,I03,PRESENT,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:05.527078,Take oatmeal,activity,I01,ABSENT,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:09.190086,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:10.513753,Move within kitchen,activity,M17,ON,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:11.979375,Take pot,activity,I07,ABSENT,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:16.521586,Move within kitchen,activity,M17,ON,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:22.217400,Use kitchen sink water,activity,AD1-B,0.0338286,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:25.647269,Move within kitchen,activity,M17,ON,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:31.349600,Use burner,activity,AD1-A,2.81793,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:25:43.603752,Move within kitchen,activity,M17,ON,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:28:10.130710,Use burner,activity,AD1-A,3.3145,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:29:31.938868,Move within kitchen,activity,M17,ON,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:30:22.481152,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:30:23.319911,Take bowl,activity,I04,ABSENT,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:30:24.511592,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:30:24.899507,Move within kitchen,activity,M17,ON,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:30:37.241420,Use burner,activity,AD1-A,3.04794,adl_noerror/p03.t3.csv,normal
normal_p03_t3,t3,normal,2008-02-29T13:30:40.573224,Move within kitchen,activity,M17,ON,adl_noerror/p03.t3.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:02.588945,Open kitchen cabinet,activity,D01,OPEN,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:04.590409,Take brown sugar,activity,I03,ABSENT,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:05.563157,Move within kitchen,activity,M17,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:05.835121,Take medicine container,activity,I06,ABSENT,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:09.618745,Close kitchen cabinet,activity,D01,CLOSE,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:13.984600,Use burner,activity,AD1-A,2.86575,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:13.984600,Use kitchen sink water,activity,AD1-B,0.0331646,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:15.576265,Move within kitchen,activity,M17,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:19.793652,Move from kitchen to dining room,activity,M15,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:20.578712,Move within dining room,activity,M14,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:24.120572,Move from dining room to kitchen,activity,M16,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:25.993071,Move within kitchen,activity,M17,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:33.258161,Move from kitchen to dining room,activity,M15,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t4,t4,normal,2008-02-29T13:31:33.811985,Move within dining room,activity,M14,ON,adl_noerror/p03.t4.csv,normal
normal_p03_t5,t5,normal,2008-02-29T13:33:05.920145,Enter dining room,activity,M14,ON,adl_noerror/p03.t5.csv,normal
