Case ID,Task ID,Condition,Timestamp,Activity,Event Type,Sensor,Message,Raw Activity,Mapped Activity,Source File,Source Data Type
normal_p01_t1,t1,normal,2008-02-27T12:47:46.425463,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:47:59.416368,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:48:02.284521,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:48:16.509518,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:48:19.506627,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:48:46.556571,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:48:47.782442,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:49:13.644005,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:49:15.000000,End phone use,activity,asterisk,END,Phone sensor END,End phone use,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:49:23.770089,Motion detected at M13,activity,M13,ON,M13 ON,Motion detected at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t1,t1,normal,2008-02-27T12:49:23.930300,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t1.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:52.624433,Motion detected at M14,activity,M14,ON,M14 ON,Motion detected at M14,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:53.802099,Motion detected at M15,activity,M15,ON,M15 ON,Motion detected at M15,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:54.240040,Motion detected at M16,activity,M16,ON,M16 ON,Motion detected at M16,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:55.470956,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:55.470956,Motion stopped at M15,activity,M15,OFF,M15 OFF,Motion stopped at M15,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:55.808938,Motion stopped at M14,activity,M14,OFF,M14 OFF,Motion stopped at M14,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:57.548709,Motion stopped at M16,activity,M16,OFF,M16 OFF,Motion stopped at M16,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:57.717712,Motion stopped at M13,activity,M13,OFF,M13 OFF,Motion stopped at M13,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:58.105580,Use hot water,activity,AD1-B,0.0332818,AD1-B value 0.0332818,Use hot water,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:49:59.197328,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:01.107640,Use hot water,activity,AD1-B,0.302934,AD1-B value 0.302934,Use hot water,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:10.254820,Use hot water,activity,AD1-B,0.471413,AD1-B value 0.471413,Use hot water,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:25.215430,Use hot water,activity,AD1-B,0.538329,AD1-B value 0.538329,Use hot water,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:38.708635,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:40.520400,Use hot water,activity,AD1-B,0.467429,AD1-B value 0.467429,Use hot water,adl_noerror/p01.t2.csv,normal
normal_p01_t2,t2,normal,2008-02-27T12:50:42.521531,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t2.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:50:43.533263,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:50:56.242000,Take pot,activity,I07,ABSENT,I07 ABSENT,Take pot,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:01.601718,Open kitchen cabinet,activity,D01,OPEN,D01 OPEN,Open kitchen cabinet,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:03.797739,Take raisins,activity,I02,ABSENT,I02 ABSENT,Take raisins,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:05.950145,Take brown sugar,activity,I03,ABSENT,I03 ABSENT,Take brown sugar,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:09.800081,Take oatmeal,activity,I01,ABSENT,I01 ABSENT,Take oatmeal,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:10.477900,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:11.473605,Take bowl,activity,I04,ABSENT,I04 ABSENT,Take bowl,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:12.497614,Take measuring spoon,activity,I05,ABSENT,I05 ABSENT,Take measuring spoon,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:16.729926,Close kitchen cabinet,activity,D01,CLOSE,D01 CLOSE,Close kitchen cabinet,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:25.432400,Use cold water,activity,AD1-C,0.0338677,AD1-C value 0.0338677,Use cold water,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:25.462293,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:28.346800,Use cold water,activity,AD1-C,0.129533,AD1-C value 0.129533,Use cold water,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:29.984940,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:46.262390,Use burner,activity,AD1-A,2.81965,AD1-A value 2.81965,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:49.244600,Use burner,activity,AD1-A,2.88004,AD1-A value 2.88004,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:49.957176,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:52.245320,Use burner,activity,AD1-A,2.99841,AD1-A value 2.99841,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:54.977721,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:51:55.109734,Use burner,activity,AD1-A,3.07684,AD1-A value 3.07684,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:01.652600,Use burner,activity,AD1-A,3.14442,AD1-A value 3.14442,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:07.954605,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:10.101700,Use burner,activity,AD1-A,3.22653,AD1-A value 3.22653,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:12.568845,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:23.000000,Instruction marker stop_instruct,activity,E01,STOP_INSTRUCT,E01 STOP_INSTRUCT,Instruction marker stop_instruct,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:28.764057,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:44.712481,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:46.943816,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:48.295250,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:52:52.223810,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:03.940956,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:04.749720,Open kitchen cabinet,activity,D01,OPEN,D01 OPEN,Open kitchen cabinet,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:07.523938,Close kitchen cabinet,activity,D01,CLOSE,D01 CLOSE,Close kitchen cabinet,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:19.645500,Use burner,activity,AD1-A,3.28802,AD1-A value 3.28802,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:26.812782,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:27.142702,Motion detected at M16,activity,M16,ON,M16 ON,Motion detected at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:34.467035,Motion stopped at M16,activity,M16,OFF,M16 OFF,Motion stopped at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:39.757783,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:47.889412,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:49.908823,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:53:52.712006,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:00.169846,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:10.510897,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:11.892523,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:31.483305,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:34.125310,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:39.263280,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:46.247350,Use burner,activity,AD1-A,3.33802,AD1-A value 3.33802,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:46.662363,Motion detected at M16,activity,M16,ON,M16 ON,Motion detected at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:49.587300,Use burner,activity,AD1-A,3.1888,AD1-A value 3.1888,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:51.670158,Motion stopped at M16,activity,M16,OFF,M16 OFF,Motion stopped at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:52.301000,Use burner,activity,AD1-A,3.09059,AD1-A value 3.09059,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:52.489944,Motion detected at M16,activity,M16,ON,M16 ON,Motion detected at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:58.112660,Use burner,activity,AD1-A,3.01809,AD1-A value 3.01809,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:54:58.487204,Motion stopped at M16,activity,M16,OFF,M16 OFF,Motion stopped at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:05.216236,Motion detected at M16,activity,M16,ON,M16 ON,Motion detected at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:11.638374,Motion stopped at M16,activity,M16,OFF,M16 OFF,Motion stopped at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:16.770000,Use burner,activity,AD1-A,2.93059,AD1-A value 2.93059,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:48.799960,Motion detected at M16,activity,M16,ON,M16 ON,Motion detected at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:54.930896,Motion stopped at M16,activity,M16,OFF,M16 OFF,Motion stopped at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:55:55.458990,Use burner,activity,AD1-A,2.99966,AD1-A value 2.99966,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:01.509300,Use burner,activity,AD1-A,3.05223,AD1-A value 3.05223,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:10.470408,Motion detected at M16,activity,M16,ON,M16 ON,Motion detected at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:16.578100,Motion stopped at M16,activity,M16,OFF,M16 OFF,Motion stopped at M16,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:54.243089,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:56.309244,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:56:58.228900,Use burner,activity,AD1-A,3.00122,AD1-A value 3.00122,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:07.220850,Use burner,activity,AD1-A,2.92129,AD1-A value 2.92129,Use burner,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:20.987112,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:25.502822,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:27.181312,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:28.844849,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:31.524105,Motion detected at M17,activity,M17,ON,M17 ON,Motion detected at M17,adl_noerror/p01.t3.csv,normal
normal_p01_t3,t3,normal,2008-02-27T12:57:35.750760,Motion stopped at M17,activity,M17,OFF,M17 OFF,Motion stopped at M17,adl_noerror/p01.t3.csv,normal
